Company,Day,Subject,Content
Mixpanel,Day 0,Exec reach out,"Hi !first_name,
Mixpanel allows you to deeply understand every user's journey with instant insights for everyone on mobile and web. Based on reviewing !company's business, I believe there is a great opportunity to discuss further.
How is your availability to catch up for 15 min this week?
Best regards,
John Doe
--
John Doe
Mixpanel | Vice President of Sales
Cell: (123) 123-1234
Video: DocuSign makes its teams data-driven with Mixpanel"
Gusto,Day 0,thoughts on Gusto?,"Hi !first_name,
I know these sales emails can be a little awkward so here's a picture of our company dog, Finnley, standing on a desk to break the ice:
Now that we're old friends, if you had to give your current payroll provider a score between 1 and 10 what would it be?
If you didn¡¯t just yell ¡°10!¡± at your monitor, here are two very simple, very good reasons why we should have a quick conversation about moving !company's payroll to Gusto:
Things move faster on Gusto. Running payroll takes anywhere between 36 seconds and 10 minutes.
I promise to include another picture of Finnley in my next email.
Looking forward to filling up your inbox with pics of this cute dog,
-John
--
John Doe
Market Development | Gusto
Book Me!
Gusto
noun | (guhs-toh)
great enjoyment, energy, and enthusiasm
ex: John hikes the Blue Ridge Mountains #WithGusto"
Gusto,Day 3,Re: thoughts on Gusto?,"Hi !first_name,
Any thoughts on that?
-John
P.S. Finnley brought in a friend to work today and I just had to share:
--
John Doe
Market Development | Gusto
Book Me!
Gusto
noun | (guhs-toh)
great enjoyment, energy, and enthusiasm
ex: John hikes the Blue Ridge Mountains #WithGusto"
ProsperWorks,Day 0,Google's only recommended CRM,"Hey !first_name,
I noticed that your team is using G-Suite to support your business at !company. As the CRM recommended and used by Google, we work with thousands of G Suite customers to help them drive more sales results with a CRM their team will actually use.
CRM built for Google Suite
What's the best way to schedule 5 minutes to talk?
Best,
John
--
John Doe
Business Development | ProsperWorks, Inc
301 Howard Suite 600 San Francisco
Built for Google | Used by Google | Recommended by Google | How It Works"
ProsperWorks,Day 3,Re: Google's only recommended CRM,"Hey !first_name,
I'm reaching out to you as a leader for Pixelfold to introduce you to ProsperWorks, the new CRM for G Suite users. I would love to show you how our technology is helping sales teams save more hours on manual data entry (because of our zero data input CRM), create a repeatable sales process and have a centralized location for all data.
How It Works
I'm hoping to schedule some time with you to further discuss ProsperWorks. When do you have 5 minutes for a quick chat in the next few business days?
Best,
John
--
John Doe
Business Development | ProsperWorks, Inc
301 Howard Suite 600 San Francisco
Built for Google | Used by Google | Recommended by Google | How It Works"
ProsperWorks,Day 8,!name + ProsperWorks,"!first_name - I'm writing to follow up on my previous emails.
Ever wish you could manage your CRM, straight out of Gmail? With the ProsperWorks Chrome Extension, you can access all your prospects, clients and the data that surrounds them --- without ever leaving your inbox.
Let¡¯s schedule some time to show you how you can save time daily and be more organized with ProsperWorks. Does tomorrow 9AM or 2PM work for you?
Best,
John
--
John Doe
Business Development | ProsperWorks, Inc
301 Howard Suite 600 San Francisco
Built for Google | Used by Google | Recommended by Google | How It Works"
Front,Day 0,Front App,"Hi!
I hope this email finds you well. I¡¯m John from Front ? we were part of the S14 batch of YC, with the mission to build the future of email communication for business.
I¡¯m reaching out because several companies from your batch already use Front, primarily to manage their customer support. I don¡¯t know what you¡¯re currently using today, but in case you¡¯re thinking about switching away from it or just improving your communications process, I¡¯d love show you how Front compares with email-based support or more traditional helpdesk platforms.
Would you be available to chat in the coming days?
Thanks so much!
Ben
P.S.: To reinforce a few of my points above, you should read how YC is using Front here :)
_________________
John Doe | Front
Business Relationship Manager
Tel: (xxx) xxx-xxxx"
Front,Day 10,Re: Front App,"Hi,
Did you have a chance to read my message?
Best,
John
_________________
John Doe | Front
Business Relationship Manager
Tel: (xxx) xxx-xxxx"
LogDNA,Day 0,Re: Do you have a technical contact?,"Hi there,
I'm the co-founder of LogDNA, my company provides server logging to engineers (something almost every companies requires). We'd love to provide you a special discount offer.
I'm an alumni of the accelerator Y Combinator and I'd love to see how we can help out the startup community.
Any chance you might be able to point me in the right direction? Again, apologies if this email is completely outside your scope. I'd be sincerely grateful if you might be able to redirect my inquiry.
Thanks,
John
--
John Doe
LogDNA
123-123-1234
www.LogDNA.com"
LogDNA,Day 10,Do you have a technical contact?,"Hey,
It's been a while since we last connected ? how is everything going?  Is there anything I can do to help?  We've also re-jigged our discount to 50% off LogDNA for the first 3 months -- let me know if your team needs a better logging solution.
Cheers,
John
--
John Doe
LogDNA
123-123-1234
www.LogDNA.com"
